SIDE,ID_0,GEM_NAME_0,WB_CODE,WB_NAME,MATCH_METHOD
gem,AFG,Afghanistan,AFG,Afghanistan,code
gem,ALB,Albania,ALB,Albania,code
gem,DZA,Algeria,DZA,Algeria,code
gem,ASM,American Samoa,ASM,American Samoa (U.S.),code
gem,AND,Andorra,AND,Andorra,code
gem,AGO,Angola,AGO,Angola,code
gem,AIA,Anguilla,AIA,Anguilla (U.K.),code
gem,ATG,Antigua and Barbuda,ATG,Antigua and Barbuda,code
gem,ARG,Argentina,ARG,Argentina,code
gem,ARM,Armenia,ARM,Armenia,code
gem,ABW,Aruba,ABW,Aruba (Neth.),code
gem,AUS,Australia,AUS,Australia (+1 features),code
gem,AUT,Austria,AUT,Austria,code
gem,AZE,Azerbaijan,AZE,Azerbaijan,code
gem,BHS,Bahamas,BHS,The Bahamas,code
gem,BHR,Bahrain,BHR,Bahrain,code
gem,BGD,Bangladesh,BGD,Bangladesh,code
gem,BRB,Barbados,BRB,Barbados,code
gem,BLR,Belarus,BLR,Belarus,code
gem,BEL,Belgium,BEL,Belgium,code
gem,BLZ,Belize,BLZ,Belize,code
gem,BEN,Benin,BEN,Benin,code
gem,BTN,Bhutan,BTN,Bhutan,code
gem,BOL,Bolivia,BOL,Bolivia,code
gem,BIH,Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,code
gem,BWA,Botswana,BWA,Botswana,code
gem,BRA,Brazil,BRA,Brazil,code
gem,VGB,British Virgin Islands,VGB,British Virgin Islands (U.K.),code
gem,BRN,Brunei,BRN,Brunei Darussalam,code
gem,BGR,Bulgaria,BGR,Bulgaria,code
gem,BFA,Burkina Faso,BFA,Burkina Faso,code
gem,BDI,Burundi,BDI,Burundi,code
gem,CPV,Cabo Verde,CPV,Cabo Verde,code
gem,KHM,Cambodia,KHM,Cambodia,code
gem,CMR,Cameroon,CMR,Cameroon,code
gem,CAN,Canada,CAN,Canada,code
gem,CYM,Cayman Islands,CYM,Cayman Islands (U.K.),code
gem,CAF,Central African Republic,CAF,Central African Republic,code
gem,TCD,Chad,TCD,Chad,code
gem,CHL,Chile,CHL,Chile,code
gem,CHN,China,CHN,China,code
gem,COL,Colombia,COL,Colombia,code
gem,COM,Comoros,COM,Comoros,code
gem,COG,Congo,COG,Congo,code
gem,COK,Cook Islands,COK,Cook Islands (N.Z.),code
gem,CRI,Costa Rica,CRI,Costa Rica,code
gem,HRV,Croatia,HRV,Croatia,code
gem,CUB,Cuba,CUB,Cuba,code
gem,CYP,Cyprus,CYP,Cyprus,code
gem,CZE,Czechia,CZE,Czech Republic,code
gem,CIV,Côte d'Ivoire,CIV,CÃ´te d'Ivoire,code
gem,COD,Democratic Republic of the Congo,COD,Democratic Republic of Congo,code
gem,DNK,Denmark,DNK,Denmark,code
