SIDE,ID_0,GEM_ID_1,GEM_NAME_1,WB_CODE,WB_NAME,MATCH_METHOD
gem,AFG,AF-BDS,Badakhshan,AFG001,Badakhshan,name
gem,AFG,AF-BDG,Badghis,AFG002,Badghis,name
gem,AFG,AF-BGL,Baghlan,AFG003,Baghlan,name
gem,AFG,AF-BAL,Balkh,AFG004,Balkh,name
gem,AFG,AF-BAM,Bamyan,AFG005,Bamyan,name
gem,AFG,AF-DAY,Daykundi,AFG006,Daykundi,name
gem,AFG,AF-FRA,Farah,AFG007,Farah,name
gem,AFG,AF-FYB,Faryab,AFG008,Faryab,name
gem,AFG,AF-GHA,Ghazni,AFG009,Ghazni,name
gem,AFG,AF-GHO,Ghor,AFG010,Ghor,name
gem,AFG,AF-HEL,Helmand,AFG011,Hilmand,name
gem,AFG,AF-HER,Herat,AFG012,Hirat,name
gem,AFG,AF-JOW,Jowzjan,AFG013,Jawzjan,name
gem,AFG,AF-KAB,Kabul,AFG014,Kabul,name
gem,AFG,AF-KAN,Kandahar,AFG015,Kandahar,name
gem,AFG,AF-KAP,Kapisa,AFG016,Kapisa,name
gem,AFG,AF-KHO,Khost,AFG017,Khost,name
gem,AFG,AF-KNR,Kunar,AFG018,Kunar,name
gem,AFG,AF-KDZ,Kunduz,AFG019,Kunduz,name
gem,AFG,AF-LAG,Laghman,AFG020,Laghman,name
gem,AFG,AF-LOG,Logar,AFG021,Logar,name
gem,AFG,AF-NAN,Nangarhar,AFG022,Nangarhar,name
gem,AFG,AF-NIM,Nimruz,AFG023,Nimroz,name
gem,AFG,AF-NUR,Nuristan,AFG024,Nuristan,name
gem,AFG,AF-PIA,Paktia,AFG026,Paktya,name
gem,AFG,AF-PKA,Paktika,AFG025,Paktika,name
gem,AFG,AF-PAN,Panjshir,AFG027,Panjsher,name
gem,AFG,AF-PAR,Parwan,AFG028,Parwan,name
gem,AFG,AF-SAM,Samangan,AFG029,Samangan,name
gem,AFG,AF-SAR,Sar-e Pol,AFG030,Sar-e-Pul,name
gem,AFG,AF-TAK,Takhar,AFG031,Takhar,name
gem,AFG,AF-URU,Uruzgan,AFG032,Uruzgan,name
gem,AFG,AF-WAR,Wardak,AFG033,Wardak,name
gem,AFG,AF-ZAB,Zabul,AFG034,Zabul,name
gem,ALB,AL-01,Berat,ALB001 + ALB016 + ALB032,Berat + Kucove + Skrapar,override
gem,ALB,AL-09,Dibër,ALB005 + ALB002 + ALB024,Diber + Bulqize + Mat,override
gem,ALB,AL-02,Durrës,ALB006 + ALB015,Durres + Kruje,override
gem,ALB,AL-03,Elbasan,ALB007 + ALB010 + ALB020 + ALB026,Elbasan + Gramsh + Librazhd + Peqin,override
gem,ALB,AL-04,Fier,ALB008 + ALB021 + ALB023,Fier + Lushnje + Mallakaster,override
gem,ALB,AL-05,Gjirokastër,ALB009 + ALB027 + ALB033,Gjirokaster + Permet + Tepelene,override
gem,ALB,AL-06,Korçë,ALB014 + ALB004 + ALB013 + ALB028,Korce + Devoll + Kolonje + Pogradec,override
gem,ALB,AL-07,Kukës,ALB017 + ALB011 + ALB035,Kukes + Has + Tropoje,override
gem,ALB,AL-08,Lezhë,ALB019 + ALB018 + ALB025,Lezhe + Kurbin + Mirdite,override
gem,ALB,AL-10,Shkodër,ALB031 + ALB022 + ALB029,Shkoder + Malesi E Madhe + Puke,override
gem,ALB,AL-11,Tiranë,ALB034 + ALB012,Tirane + Kavaje,override
gem,ALB,AL-12,Vlorë,ALB036 + ALB003 + ALB030,Vlore + Delvine + Sarande,override
gem,DZA,DZ-01,Adrar,DZA001,Adrar,name
gem,DZA,DZ-03,Al-Aghouat,DZA025,Laghouat,fuzzy
gem,DZA,DZ-32,Al-Bayadh,DZA017,El Bayadh,name_loose
gem,DZA,DZ-09,Al-Blida,DZA010,Blida,name_loose
gem,DZA,DZ-02,Al-Chlef,DZA014,Chlef,name_loose
gem_only,DZA,DZ-57,Al-M'Ghair,,,none
gem,DZA,DZ-28,Al-M'sila,DZA026,M'Sila,name_loose
gem_only,DZA,DZ-58,Al-Meniaa,,,none
gem,DZA,DZ-26,Al-Médéa,DZA028,Medea,name_loose
gem,DZA,DZ-36,Al-Tarf,DZA019,El-Tarf,name_loose
gem,DZA,DZ-16,Algiers,DZA004,Alger,fuzzy
gem,DZA,DZ-23,Annaba,DZA005,Annaba,name
gem,DZA,DZ-44,Aïn Defla,DZA002,Ain-Defla,name
gem_only,DZA,DZ-54,Aïn Guezzam,,,none
gem_only,DZA,DZ-53,Aïn Salah,,,none
gem,DZA,DZ-46,Aïn Témouchent,DZA003,Ain-Temouchent,name
gem,DZA,DZ-05,Batna,DZA006,Batna,name
gem,DZA,DZ-07,Biskra,DZA009,Biskra,name
gem_only,DZA,DZ-50,Bordj Badji Mokhtar,,,none
gem,DZA,DZ-34,Bordj Bou Arréridj,DZA011,Bordj Bou Arrer,name
gem,DZA,DZ-35,Boumerdès,DZA013,Boumerdes,name
gem,DZA,DZ-10,Bouïra,DZA012,Bouira,name
gem,DZA,DZ-08,Béchar,DZA007,Bechar,name
gem,DZA,DZ-06,Béjaïa,DZA008,Bejaia,name
gem_only,DZA,DZ-52,Béni Abbès,,,none
gem,DZA,DZ-25,Constantine,DZA015,Constantine,name
gem_only,DZA,DZ-56,Djanet,,,none
gem,DZA,DZ-17,Djelfa,DZA016,Djelfa,name
