REGION,ID_0,NAME_0,OCCUPANCY,BUILDINGS,TOTAL_AREA_SQM,BLDG_REPL_COST_USD,COST_CONTENTS_USD,UCC_USD_PER_SQM,UCC_ADJ_USD_PER_SQM,CONTENTS_USD_PER_SQM,GEM_COMMIT
South Asia,AFG,Afghanistan,RES,6374073,606051671,57745796997,10190434772,95.3,95.3,16.8,c3add51
South Asia,AFG,Afghanistan,COM,410191,35748497,6696264380,1334847044,187.3,187.3,37.3,c3add51
South Asia,AFG,Afghanistan,IND,115040,28233534,5140819164,1713606385,182.1,182.1,60.7,c3add51
South Asia,AFG,Afghanistan,TOTAL,6899304,670033702,69582880541,13238888201,103.8,103.8,19.8,c3add51
Europe,ALB,Albania,RES,652211,68290959,24465285808,4335388129,358.3,358.3,63.5,c3add51
Europe,ALB,Albania,COM,36320,8130917,4163429190,894507606,512.0,512.0,110.0,c3add51
Europe,ALB,Albania,IND,18099,5701138,2371897206,986156297,416.0,416.0,173.0,c3add51
Europe,ALB,Albania,TOTAL,706630,82123014,31000612204,6216052032,377.5,377.5,75.7,c3add51
Africa,DZA,Algeria,RES,7337894,674013723,262266588975,53671336152,389.1,389.1,79.6,c3add51
Africa,DZA,Algeria,COM,329012,72438041,41681490312,10140867271,575.4,575.4,140.0,c3add51
Africa,DZA,Algeria,IND,213847,60920148,25570795956,9129128109,419.7,419.7,149.9,c3add51
Africa,DZA,Algeria,TOTAL,7880753,807371912,329518875243,72941331532,408.1,408.1,90.3,c3add51
Oceania,ASM,American Samoa,RES,13651,2891640,5053502995,2526738397,1747.6,1747.6,873.8,c3add51
Oceania,ASM,American Samoa,COM,261,113637,216604342,216604342,1906.1,1906.1,1906.1,c3add51
Oceania,ASM,American Samoa,IND,115,63060,126360472,189541265,2003.8,2003.8,3005.7,c3add51
Oceania,ASM,American Samoa,TOTAL,14027,3068337,5396467809,2932884004,1758.8,1758.8,955.9,c3add51
Europe,AND,Andorra,RES,15405,2561393,4021502957,734583465,1570.0,1570.0,286.8,c3add51
Europe,AND,Andorra,COM,4527,1885521,2891179671,595915211,1533.4,1533.4,316.0,c3add51
Europe,AND,Andorra,IND,1277,873448,1043189102,477400620,1194.3,1194.3,546.6,c3add51
Europe,AND,Andorra,TOTAL,21209,5320362,7955871730,1807899296,1495.4,1495.4,339.8,c3add51
Africa,AGO,Angola,RES,8785826,710799531,137396959116,25398844817,193.3,193.3,35.7,c3add51
