REGION,ID_0,NAME_0,ID_1,NAME_1,OCCUPANCY,BUILDINGS,TOTAL_AREA_SQM,BLDG_REPL_COST_USD,COST_CONTENTS_USD,UCC_USD_PER_SQM,UCC_ADJ_USD_PER_SQM,CONTENTS_USD_PER_SQM,GEM_COMMIT
South Asia,AFG,Afghanistan,AF-BDS,Badakhshan,RES,241950,20259314,1328532007,234446825,65.6,65.6,11.6,c3add51
South Asia,AFG,Afghanistan,AF-BDS,Badakhshan,COM,15096,1360041,268826149,52604208,197.7,197.7,38.7,c3add51
South Asia,AFG,Afghanistan,AF-BDS,Badakhshan,IND,4156,1098011,205137524,68379173,186.8,186.8,62.3,c3add51
South Asia,AFG,Afghanistan,AF-BDS,Badakhshan,TOTAL,261202,22717366,1802495680,355430206,79.3,79.3,15.6,c3add51
South Asia,AFG,Afghanistan,AF-BDG,Badghis,RES,137719,11190636,691929949,122105286,61.8,61.8,10.9,c3add51
South Asia,AFG,Afghanistan,AF-BDG,Badghis,COM,6584,485085,78798335,16505554,162.4,162.4,34.0,c3add51
South Asia,AFG,Afghanistan,AF-BDG,Badghis,IND,1711,358929,62801075,20933692,175.0,175.0,58.3,c3add51
South Asia,AFG,Afghanistan,AF-BDG,Badghis,TOTAL,146014,12034650,833529359,159544532,69.3,69.3,13.3,c3add51
South Asia,AFG,Afghanistan,AF-BGL,Baghlan,RES,259099,22619856,1717473234,303083513,75.9,75.9,13.4,c3add51
South Asia,AFG,Afghanistan,AF-BGL,Baghlan,COM,13125,1050327,181196767,37158550,172.5,172.5,35.4,c3add51
South Asia,AFG,Afghanistan,AF-BGL,Baghlan,IND,3497,985863,181553554,60517847,184.2,184.2,61.4,c3add51
South Asia,AFG,Afghanistan,AF-BGL,Baghlan,TOTAL,275721,24656046,2080223555,400759910,84.4,84.4,16.3,c3add51
South Asia,AFG,Afghanistan,AF-BAL,Balkh,RES,383764,33684313,2688220156,474391788,79.8,79.8,14.1,c3add51
South Asia,AFG,Afghanistan,AF-BAL,Balkh,COM,17850,1789608,338214257,67348750,189.0,189.0,37.6,c3add51
South Asia,AFG,Afghanistan,AF-BAL,Balkh,IND,5592,1565509,287975812,95991940,184.0,184.0,61.3,c3add51
South Asia,AFG,Afghanistan,AF-BAL,Balkh,TOTAL,407206,37039430,3314410225,637732478,89.5,89.5,17.2,c3add51
South Asia,AFG,Afghanistan,AF-BAM,Bamyan,RES,118576,9310169,523052228,92303335,56.2,56.2,9.9,c3add51
South Asia,AFG,Afghanistan,AF-BAM,Bamyan,COM,10319,412769,40390700,10489443,97.9,97.9,25.4,c3add51
South Asia,AFG,Afghanistan,AF-BAM,Bamyan,IND,1802,270342,45453057,15151017,168.1,168.1,56.0,c3add51
South Asia,AFG,Afghanistan,AF-BAM,Bamyan,TOTAL,130697,9993280,608895985,117943795,60.9,60.9,11.8,c3add51
South Asia,AFG,Afghanistan,AF-DAY,Daykundi,RES,123338,9671082,536073395,94601187,55.4,55.4,9.8,c3add51
South Asia,AFG,Afghanistan,AF-DAY,Daykundi,COM,9219,368771,34037416,9084901,92.3,92.3,24.6,c3add51
South Asia,AFG,Afghanistan,AF-DAY,Daykundi,IND,1601,240165,40194944,13398314,167.4,167.4,55.8,c3add51
South Asia,AFG,Afghanistan,AF-DAY,Daykundi,TOTAL,134158,10280018,610305755,117084402,59.4,59.4,11.4,c3add51
South Asia,AFG,Afghanistan,AF-FRA,Farah,RES,130929,10955801,752092318,132722177,68.6,68.6,12.1,c3add51
South Asia,AFG,Afghanistan,AF-FRA,Farah,COM,5564,529194,95306937,19282857,180.1,180.1,36.4,c3add51
South Asia,AFG,Afghanistan,AF-FRA,Farah,IND,1748,262259,43217857,14405953,164.8,164.8,54.9,c3add51
South Asia,AFG,Afghanistan,AF-FRA,Farah,TOTAL,138241,11747254,890617112,166410987,75.8,75.8,14.2,c3add51
South Asia,AFG,Afghanistan,AF-FYB,Faryab,RES,254961,21920824,1620232088,285923312,73.9,73.9,13.0,c3add51
South Asia,AFG,Afghanistan,AF-FYB,Faryab,COM,13765,1325071,238656730,48326872,180.1,180.1,36.5,c3add51
South Asia,AFG,Afghanistan,AF-FYB,Faryab,IND,4250,1015389,184810102,61603366,182.0,182.0,60.7,c3add51
South Asia,AFG,Afghanistan,AF-FYB,Faryab,TOTAL,272976,24261284,2043698920,395853550,84.2,84.2,16.3,c3add51
South Asia,AFG,Afghanistan,AF-GHA,Ghazni,RES,304438,24915192,1595774095,281607195,64.0,64.0,11.3,c3add51
South Asia,AFG,Afghanistan,AF-GHA,Ghazni,COM,17675,1466041,262171513,53111955,178.8,178.8,36.2,c3add51
South Asia,AFG,Afghanistan,AF-GHA,Ghazni,IND,4798,871755,151683143,50561049,174.0,174.0,58.0,c3add51
South Asia,AFG,Afghanistan,AF-GHA,Ghazni,TOTAL,326911,27252988,2009628751,385280199,73.7,73.7,14.1,c3add51
South Asia,AFG,Afghanistan,AF-GHO,Ghor,RES,201355,16498982,1009900889,178217802,61.2,61.2,10.8,c3add51
South Asia,AFG,Afghanistan,AF-GHO,Ghor,COM,12278,572894,58882565,14948637,102.8,102.8,26.1,c3add51
South Asia,AFG,Afghanistan,AF-GHO,Ghor,IND,2379,414802,71013754,23671251,171.2,171.2,57.1,c3add51
South Asia,AFG,Afghanistan,AF-GHO,Ghor,TOTAL,216012,17486678,1139797208,216837690,65.2,65.2,12.4,c3add51
South Asia,AFG,Afghanistan,AF-HEL,Helmand,RES,234355,19602588,1311131603,231376161,66.9,66.9,11.8,c3add51
South Asia,AFG,Afghanistan,AF-HEL,Helmand,COM,15004,1629870,313823618,62080100,192.5,192.5,38.1,c3add51
South Asia,AFG,Afghanistan,AF-HEL,Helmand,IND,5068,1066290,189663140,63221045,177.9,177.9,59.3,c3add51
South Asia,AFG,Afghanistan,AF-HEL,Helmand,TOTAL,254427,22298748,1814618361,356677306,81.4,81.4,16.0,c3add51
South Asia,AFG,Afghanistan,AF-HER,Herat,RES,519936,46134302,3667938585,647283278,79.5,79.5,14.0,c3add51
South Asia,AFG,Afghanistan,AF-HER,Herat,COM,21418,3084936,713424621,132958131,231.3,231.3,43.1,c3add51
South Asia,AFG,Afghanistan,AF-HER,Herat,IND,8445,2451190,458741170,152913721,187.2,187.2,62.4,c3add51
South Asia,AFG,Afghanistan,AF-HER,Herat,TOTAL,549799,51670428,4840104376,933155130,93.7,93.7,18.1,c3add51
South Asia,AFG,Afghanistan,AF-JOW,Jowzjan,RES,128701,11171400,846773437,149430606,75.8,75.8,13.4,c3add51
South Asia,AFG,Afghanistan,AF-JOW,Jowzjan,COM,9534,741812,128812419,26385945,173.6,173.6,35.6,c3add51
South Asia,AFG,Afghanistan,AF-JOW,Jowzjan,IND,2449,636257,118396455,39465487,186.1,186.1,62.0,c3add51
South Asia,AFG,Afghanistan,AF-JOW,Jowzjan,TOTAL,140684,12549469,1093982311,215282038,87.2,87.2,17.2,c3add51
South Asia,AFG,Afghanistan,AF-KAB,Kabul,RES,720979,128021025,24488228103,4321452020,191.3,191.3,33.8,c3add51
South Asia,AFG,Afghanistan,AF-KAB,Kabul,COM,32328,5882538,1372845948,255409296,233.4,233.4,43.4,c3add51
South Asia,AFG,Afghanistan,AF-KAB,Kabul,IND,16489,4873756,879519857,293173283,180.5,180.5,60.2,c3add51
South Asia,AFG,Afghanistan,AF-KAB,Kabul,TOTAL,769796,138777319,26740593908,4870034599,192.7,192.7,35.1,c3add51
South Asia,AFG,Afghanistan,AF-KAN,Kandahar,RES,225909,20096070,1633743553,288307691,81.3,81.3,14.3,c3add51
South Asia,AFG,Afghanistan,AF-KAN,Kandahar,COM,12950,1479705,286383216,56538864,193.5,193.5,38.2,c3add51
South Asia,AFG,Afghanistan,AF-KAN,Kandahar,IND,4596,1338080,245521091,81840363,183.5,183.5,61.2,c3add51
South Asia,AFG,Afghanistan,AF-KAN,Kandahar,TOTAL,243455,22913855,2165647860,426686918,94.5,94.5,18.6,c3add51
South Asia,AFG,Afghanistan,AF-KAP,Kapisa,RES,100332,7954310,454023022,80121710,57.1,57.1,10.1,c3add51
South Asia,AFG,Afghanistan,AF-KAP,Kapisa,COM,12632,519992,58950103,14339381,113.4,113.4,27.6,c3add51
South Asia,AFG,Afghanistan,AF-KAP,Kapisa,IND,2235,335234,57894658,19298218,172.7,172.7,57.6,c3add51
South Asia,AFG,Afghanistan,AF-KAP,Kapisa,TOTAL,115199,8809536,570867783,113759309,64.8,64.8,12.9,c3add51
South Asia,AFG,Afghanistan,AF-KHO,Khost,RES,87196,7518858,511503194,90265271,68.0,68.0,12.0,c3add51
South Asia,AFG,Afghanistan,AF-KHO,Khost,COM,10762,685880,104535478,22458315,152.4,152.4,32.7,c3add51
South Asia,AFG,Afghanistan,AF-KHO,Khost,IND,2474,676512,125413295,41804432,185.4,185.4,61.8,c3add51
South Asia,AFG,Afghanistan,AF-KHO,Khost,TOTAL,100432,8881250,741451967,154528018,83.5,83.5,17.4,c3add51
South Asia,AFG,Afghanistan,AF-KNR,Kunar,RES,80108,6526995,402473091,71024665,61.7,61.7,10.9,c3add51
South Asia,AFG,Afghanistan,AF-KNR,Kunar,COM,8893,534053,83571861,17740330,156.5,156.5,33.2,c3add51
South Asia,AFG,Afghanistan,AF-KNR,Kunar,IND,1916,535010,99407716,33135906,185.8,185.8,61.9,c3add51
South Asia,AFG,Afghanistan,AF-KNR,Kunar,TOTAL,90917,7596058,585452668,121900901,77.1,77.1,16.0,c3add51
South Asia,AFG,Afghanistan,AF-KDZ,Kunduz,RES,205436,17548279,1311349430,231414605,74.7,74.7,13.2,c3add51
South Asia,AFG,Afghanistan,AF-KDZ,Kunduz,COM,16739,1176488,190894053,40054962,162.3,162.3,34.0,c3add51
South Asia,AFG,Afghanistan,AF-KDZ,Kunduz,IND,4072,1014889,182399255,60799751,179.7,179.7,59.9,c3add51
South Asia,AFG,Afghanistan,AF-KDZ,Kunduz,TOTAL,226247,19739656,1684642738,332269318,85.3,85.3,16.8,c3add51
South Asia,AFG,Afghanistan,AF-LAG,Laghman,RES,109864,9131394,579102566,102194572,63.4,63.4,11.2,c3add51
South Asia,AFG,Afghanistan,AF-LAG,Laghman,COM,15557,1363437,289450355,55399722,212.3,212.3,40.6,c3add51
South Asia,AFG,Afghanistan,AF-LAG,Laghman,IND,3756,1101210,221135578,73711859,200.8,200.8,66.9,c3add51
South Asia,AFG,Afghanistan,AF-LAG,Laghman,TOTAL,129177,11596041,1089688499,231306153,94.0,94.0,19.9,c3add51
South Asia,AFG,Afghanistan,AF-LOG,Logar,RES,67801,5455499,323515886,57091040,59.3,59.3,10.5,c3add51
South Asia,AFG,Afghanistan,AF-LOG,Logar,COM,8136,356798,39031171,9611442,109.4,109.4,26.9,c3add51
South Asia,AFG,Afghanistan,AF-LOG,Logar,IND,1496,361251,64460923,21486974,178.4,178.4,59.5,c3add51
South Asia,AFG,Afghanistan,AF-LOG,Logar,TOTAL,77433,6173548,427007980,88189456,69.2,69.2,14.3,c3add51
